"Author","doi","issn","journal","title","year","PMID"
"Damilola R Oresegun,Peter Thorpe,Ernest Diez Benavente,Susana Campino,Fauzi Muh,Robert William Moon,Taane Gregory Clark,Janet Cox-Singh","10.3389/fgene.2022.855052","1664-8021","Frontiers in Genetics","De Novo Assembly of Plasmodium knowlesi Genomes From Clinical Samples Explains the Counterintuitive Intrachromosomal Organization of Variant SICAvar and kir Multiple Gene Family Members","2022"
"Rita Elias,Anton Spadar,Jody Phelan,José Melo-Cristino,Luís Lito,Margarida Pinto,Luísa Gonçalves,Susana Campino,Taane G Clark,Aida Duarte,João Perdigão","10.1016/j.ijantimicag.2022.106581","09248579","International Journal of Antimicrobial Agents","A phylogenomic approach for the analysis of colistin resistance-associated genes in Klebsiella pneumoniae, its mutational diversity and implications for phenotypic resistance","2022"
"Sophie Moss,Emilia Mańko,Sanjeev Krishna,Susana Campino,Taane G Clark,Anna Last","10.1186/s12936-022-04181-y","1475-2875","Malaria Journal","How has mass drug administration with dihydroartemisinin-piperaquine impacted molecular markers of drug resistance? A systematic review","2022"
"Kanwara Trisakul,Ditthawat Nonghanphithak,Pratchakan Chaiyachat,Orawee Kaewprasert,Kankanon Sakmongkoljit,Wipa Reechaipichitkul,Angkana Chaiprasert,David Blair,Taane G Clark,Kiatichai Faksri","10.1080/22221751.2022.2099304","2222-1751","Emerging Microbes & Infections","High clustering rate and genotypic drug-susceptibility screening for the newly recommended anti-tuberculosis drugs among global extensively drug-resistant <i>Mycobacterium tuberculosis</i> isolates","2022"
"Daniel Ward,Ana Rita Gomes,Kevin K A Tetteh,Nuno Sepúlveda,Lara Ferrero Gomez,Susana Campino,Taane G Clark","10.1038/s41598-022-16115-4","2045-2322","Scientific Reports","Sero-epidemiological study of arbovirus infection following the 2015–2016 Zika virus outbreak in Cabo Verde","2022"
"Paula J Gómez-González,Susana Campino,Jody E Phelan,Taane G Clark","10.1093/bib/bbac256","1467-5463","Briefings in Bioinformatics","Portable sequencing of <i>Mycobacterium tuberculosis</i> for clinical and epidemiological applications","2022"
"Anton Spadar,João Perdigão,Susana Campino,Taane G Clark","10.1038/s41598-022-17995-2","2045-2322","Scientific Reports","Genomic analysis of hypervirulent Klebsiella pneumoniae reveals potential genetic markers for differentiation from classical strains","2022"
"Anton Spadar,Jody Phelan,Rita Elias,Ana Modesto,Cátia Caneiras,Cátia Marques,Luís Lito,Margarida Pinto,Patrícia Cavaco-Silva,Helena Ferreira,Constança Pomba,Gabriela J Da Silva,Maria José Saavedra,José Melo-Cristino,Aida Duarte,Susana Campino,João Perdigão,Taane G Clark","10.1038/s41598-022-17996-1","2045-2322","Scientific Reports","Genomic epidemiological analysis of Klebsiella pneumoniae from Portuguese hospitals reveals insights into circulating antimicrobial resistance","2022"
"Monica Campos,Jody Phelan,Anton Spadar,Emma Collins,Adéritow Gonçalves,Bethanie Pelloquin,Natasha Marcella Vaselli,Anne Meiwald,Emma Clark,Caleb Stica,James Orsborne,Moussa Sylla,Constant Edi,Denka Camara,Abdul Rahim Mohammed,Yaw Asare Afrane,Mojca Kristan,Thomas Walker,Lara Ferrero Gomez,Louisa A Messenger,Taane G Clark,Susana Campino","10.1038/s41598-022-17822-8","2045-2322","Scientific Reports","High-throughput barcoding method for the genetic surveillance of insecticide resistance and species identification in Anopheles gambiae complex malaria vectors","2022"
"James R Hargreaves,Sinéad M Langan,William E Oswald,Katherine E Halliday,Joanna Sturgess,Jody Phelan,Patrick Nguipdop-Djomo,Benjamin Ford,Elizabeth Allen,Neisha Sundaram,Georgina Ireland,John Poh,Samreen Ijaz,Ian Diamond,Emma Rourke,Fiona Dawe,Alison Judd,Charlotte Warren-Gash,Taane G Clark,Judith R Glynn,W John Edmunds,Chris Bonell,Punam Mangtani,Shamez N Ladhani,Tanya Abramsky,Shazaad Ahmad,Felicity Aiano,Frances Baawuah,Urszula Bankiewicz,Sarah Batt,Joanne Beckmann,Ami Bhavsar,Bernadette Brent,Andrew Brent,Simon Brouwer,Kevin Brown,Richard Browne,Kevin Childs,Sarah Cook,Simon Cousens,Ieuan Day,Antonio Felton,Paul Fine,David Foster,Joanna Garstang,David Gates,Claire Grant,Bethany Griffiths-Tong,Claire Hele,Rowan Hemsi,Pete Jones,Helena Jordan,Adam Kucharski,Andrea Lacey,Rebecca Leeson,Ffion Lelii,Philip Lovely,Madeleine Lunskey,Chris McLanachan,James Munday,Ifeanyichukwu Okike,Kathleen O'Reilly,Penelope Parker,Annabel Powell,Sarah Proud,Mary Ramsay,Lee Rudd,Timothy Russell,Justin Shute,Nerissa Tilouche,Charmaine Virgin,Sian-Elin Wyatt,KELLY YEO","10.1016/j.lanepe.2022.100471","26667762","The Lancet Regional Health - Europe","Epidemiology of SARS-CoV-2 infection among staff and students in a cohort of English primary and secondary schools during 2020–2021","2022"
"Josiah O Kuja,Bernard N Kanoi,Renzo F Balboa,Clement Shiluli,Michael Maina,Harrison Waweru,Kimita Gathii,Mary Mungai,Moses Masika,Omu Anzala,Matilu Mwau,Taane G Clark,John Waitumbi,Jesse Gitaka","10.1186/s12864-022-08853-6","1471-2164","BMC Genomics","Genomic surveillance of SARS-COV-2 reveals diverse circulating variant lineages in Nairobi and Kiambu Counties, Kenya","2022"
"Matthew Higgins,Oliver W Stringer,Daniel Ward,Jennifer M Andrews,Matthew S Forrest,Susana Campino,Taane G Clark","10.1016/j.jmoldx.2022.08.005","15251578","The Journal of Molecular Diagnostics","Characterizing the Impact of Primer-Template Mismatches on Recombinase Polymerase Amplification","2022"
"Razib Mazumder,Arif Hussain,Jody E Phelan,Susana Campino,S M Arefeen Haider,Araf Mahmud,Dilruba Ahmed,Md Asadulghani,Taane G Clark,Dinesh Mondal","10.3389/fmicb.2022.1027494","1664-302X","Frontiers in Microbiology","Non-lactose fermenting Escherichia coli: Following in the footsteps of lactose fermenting E. coli high-risk clones","2022"
"Anwar Sheed Khan,Jody E Phelan,Muhammad Tahir Khan,Sajid Ali,Muhammad Qasim,Noor Mohammad,Gary Napier,Sajjad Ahmad,Jamshed Alam,Baharullah Khattak,Susana Campino,Taane G Clark,Taj Ali Khan","10.1016/j.tube.2022.102286","14729792","Tuberculosis","Genetic mutations underlying isoniazid-resistant Mycobacterium tuberculosis in Khyber Pakhtunkhwa, Pakistan","2023"
"Wouter Deelder,Emilia Manko,Jody E Phelan,Susana Campino,Luigi Palla,Taane G Clark","10.1038/s41598-022-25568-6","2045-2322","Scientific Reports","Geographical classification of malaria parasites through applying machine learning to whole genome sequence data","2022"
"Emma L Collins,Jody E Phelan,Magdalena Hubner,Anton Spadar,Monica Campos,Daniel Ward,Holly Acford-Palmer,Ana Rita Gomes,Keily Silva,Lara Ferrero Gomez,Taane G Clark,Susana Campino","10.1371/journal.pntd.0010935","1935-2735","PLOS Neglected Tropical Diseases","A next generation targeted amplicon sequencing method to screen for insecticide resistance mutations in Aedes aegypti populations reveals a rdl mutation in mosquitoes from Cabo Verde","2022"
"Julian Libiseller-Egger,Jody E Phelan,Zachi I Attia,Ernest Diez Benavente,Susana Campino,Paul A Friedman,Francisco Lopez-Jimenez,David A Leon,Taane G Clark","10.1038/s41598-022-27254-z","2045-2322","Scientific Reports","Deep learning-derived cardiovascular age shares a genetic basis with other cardiac phenotypes","2022"
"Jody E Phelan,Francesc Coll,Indra Bergval,Richard M Anthony,Rob Warren,Samantha L Sampson,Nicolaas C Gey van Pittius,Judith R Glynn,Amelia C Crampin,Adriana Alves,Theolis Barbosa Bessa,Susana Campino,Keertan Dheda,Louis Grandjean,Rumina Hasan,Zahra Hasan,Anabela Miranda,David Moore,Stefan Panaiotov,Joao Perdigao,Isabel Portugal,Patricia Sheen,Erivelton de Oliveira Sousa,Elizabeth M Streicher,Paul D van Helden,Miguel Viveiros,Martin L Hibberd,Arnab Pain,Ruth McNerney,Taane G Clark","10.1186/s12864-016-2467-y","1471-2164","BMC genomics","Recombination in pe/ppe genes contributes to genetic variation in Mycobacterium tuberculosis lineages.","2016","26923687"
"Benjamin Sobkowiak,Judith R Glynn,Rein M G J Houben,Kim Mallard,Jody E Phelan,José Afonso Guerra-Assunção,Louis Banda,Themba Mzembe,Miguel Viveiros,Ruth McNerney,Julian Parkhill,Amelia C Crampin,Taane G Clark","10.1186/s12864-018-4988-z","1471-2164","BMC Genomics","Identifying mixed Mycobacterium tuberculosis infections from whole genome sequence data","2018"
"Stephanie Portelli,Jody E Phelan,David B Ascher,Taane G Clark,Nicholas Furnham","10.1038/s41598-018-33370-6","2045-2322","Scientific Reports","Understanding molecular consequences of putative drug resistant mutations in Mycobacterium tuberculosis","2018"
"Paula J Gomez-Gonzalez,Nuria Andreu,Jody E Phelan,Paola Florez de Sessions,Judith R Glynn,Amelia C Crampin,Susana Campino,Philip D Butcher,Martin L Hibberd,Taane G Clark","10.1038/s41598-019-41692-2","2045-2322","Scientific Reports","An integrated whole genome analysis of Mycobacterium tuberculosis reveals insights into relationship between its genome, transcriptome and methylome","2019"
"Jody E Phelan,Denise M O’Sullivan,Diana Machado,Jorge Ramos,Yaa E A Oppong,Susana Campino,Justin O’Grady,Ruth McNerney,Martin L Hibberd,Miguel Viveiros,Jim F Huggett,Taane G Clark","10.1186/s13073-019-0650-x","1756-994X","Genome Medicine","Integrating informatics tools and portable sequencing technology for rapid detection of resistance to anti-tuberculous drugs","2019"
"Jody E Phelan,Dodge R Lim,Satoshi Mitarai,Paola Florez de Sessions,Ma Angelica A Tujan,Lorenzo T Reyes,Inez Andrea P Medado,Alma G Palparan,Ahmad Nazri Mohamed Naim,Song Jie,Edelwisa Segubre-Mercado,Beatriz Simoes,Susana Campino,Julius C Hafalla,Yoshiro Murase,Yuta Morishige,Martin L Hibberd,Seiya Kato,Ma Cecilia G Ama,Taane G Clark","10.1038/s41598-019-45566-5","2045-2322","Scientific Reports","Mycobacterium tuberculosis whole genome sequencing provides insights into the Manila strain and drug-resistance mutations in the Philippines","2019"
"João Perdigão,Pedro Gomes,Anabela Miranda,Fernando Maltez,Diana Machado,Carla Silva,Jody E Phelan,Laura Brum,Susana Campino,Isabel Couto,Miguel Viveiros,Taane G Clark,Isabel Portugal","10.1038/s41598-020-59558-3","2045-2322","Scientific Reports","Using genomics to understand the origin and dispersion of multidrug and extensively drug resistant tuberculosis in Portugal","2020"
"Bugwesa Z Katale,Peter M Mbelele,Nsiande A Lema,Susana Campino,Stephen E Mshana,Mark M Rweyemamu,Jody E Phelan,Julius D Keyyu,Mtebe Majigo,Erasto V Mbugi,Hazel M Dockrell,Taane G Clark,Mecky I Matee,Stellah Mpagama","10.1186/s12864-020-6577-1","1471-2164","BMC Genomics","Whole genome sequencing of Mycobacterium tuberculosis isolates and clinical outcomes of patients treated for multidrug-resistant tuberculosis in Tanzania","2020"
"Prapaporn Srilohasin,Therdsak Prammananan,Kiatichai Faksri,Jody E Phelan,Prapat Suriyaphol,Phalin Kamolwat,Saijai Smithtikarn,Areeya Disratthakit,Sanjib Mani Regmi,Manoon Leechawengwongs,Rick Twee-Hee Ong,Yik Ying Teo,Sissades Tongsima,Taane G Clark,Angkana Chaiprasert","10.1080/22221751.2020.1852891","2222-1751","Emerging Microbes & Infections","Genomic evidence supporting the clonal expansion of extensively drug-resistant tuberculosis bacteria belonging to a rare proto <b>-</b> Beijing genotype","2020"
"Daniel Ward,Matthew Higgins,Jody E Phelan,Martin L Hibberd,Susana Campino,Taane G Clark","10.1186/s13073-020-00822-6","1756-994X","Genome Medicine","An integrated in silico immuno-genetic analytical platform provides insights into COVID-19 serological and vaccine targets","2021"
"Elizabeth B Sawyer,Jody E Phelan,Taane G Clark,Teresa Cortes","10.1016/j.celrep.2021.108695","22111247","Cell Reports","A snapshot of translation in Mycobacterium tuberculosis during exponential growth and nutrient starvation revealed by ribosome profiling","2021"
"Ditthawat Nonghanphithak,Angkana Chaiprasert,Saijai Smithtikarn,Phalin Kamolwat,Petchawan Pungrassami,Virasakdi Chongsuvivatwong,Surakameth Mahasirimongkol,Wipa Reechaipichitkul,Chaniya Leepiyasakulchai,Jody E Phelan,David Blair,Taane G Clark,Kiatichai Faksri","10.3201/eid2703.204364","1080-6040","Emerging Infectious Diseases","Clusters of Drug-Resistant <i>Mycobacterium tuberculosis</i> Detected by Whole-Genome Sequence Analysis of Nationwide Sample, Thailand, 2014–2017","2021"
"Anton Spadar,Jody E Phelan,Ernest Diez Benavente,Monica Campos,Lara Ferrero Gomez,Fady Mohareb,Taane G Clark,Susana Campino","10.1186/s13071-021-04828-w","1756-3305","Parasites & Vectors","Flavivirus integrations in Aedes aegypti are limited and highly conserved across samples from different geographic regions unlike integrations in Aedes albopictus","2021"
"Anwar Sheed Khan,Jody E Phelan,Muhammad Tahir Khan,Sajid Ali,Muhammad Qasim,Gary Napier,Susana Campino,Sajjad Ahmad,Otavio Cabral-Marques,Shulin Zhang,Hazir Rahman,Dong-Qing Wei,Taane G Clark,Taj Ali Khan","10.1038/s41598-021-93501-4","2045-2322","Scientific Reports","Characterization of rifampicin-resistant Mycobacterium tuberculosis in Khyber Pakhtunkhwa, Pakistan","2021"
"Anwar Sheed Khan,Jody E Phelan,Muhammad Tahir Khan,Sajid Ali,Muhammad Qasim,Gary Napier,Susana Campino,Sajjad Ahmad,Otavio Cabral-Marques,Shulin Zhang,Hazir Rahman,Dong-Qing Wei,Taane G Clark,Taj Ali Khan","10.1038/s41598-021-94687-3","2045-2322","Scientific Reports","Author Correction: Characterization of rifampicin-resistant Mycobacterium tuberculosis in Khyber Pakhtunkhwa, Pakistan","2021"
"Paula J Gómez-González,Joao Perdigao,Pedro Gomes,Zully M Puyen,David Santos-Lazaro,Gary Napier,Martin L Hibberd,Miguel Viveiros,Isabel Portugal,Susana Campino,Jody E Phelan,Taane G Clark","10.1038/s41598-021-98862-4","2045-2322","Scientific Reports","Genetic diversity of candidate loci linked to Mycobacterium tuberculosis resistance to bedaquiline, delamanid and pretomanid","2021"
"Laura C Gomes,Susana Campino,Cláudio R F Marinho,Taane G Clark,Jody E Phelan","10.1099/mgen.0.000724","2057-5858","Microbial Genomics","Whole genome sequencing reveals large deletions and other loss of function mutations in Mycobacterium tuberculosis drug resistance genes","2021"
"Dennis Mujuni,Dianah Linda Kasemire,Ivan Ibanda,Joel Kabugo,Andrew Nsawotebba,Jody E Phelan,Robert Kaos Majwala,Didas Tugumisirize,Abdunoor Nyombi,Beatrice Orena,Irene Turyahabwe,Henry Byabajungu,Diana Nadunga,Kenneth Musisi,Moses Lutakoome Joloba,Willy Ssengooba","10.1186/s12879-022-07339-w","1471-2334","BMC Infectious Diseases","Molecular characterisation of second-line drug resistance among drug resistant tuberculosis patients tested in Uganda: a two and a half-year’s review","2022"
"Gary Napier,Anwar Sheed Khan,Abdul Jabbar,Muhammad Tahir Khan,Sajid Ali,Muhammad Qasim,Noor Mohammad,Rumina Hasan,Zahra Hasan,Susana Campino,Sajjad Ahmad,Baharullah Khattak,Simon J Waddell,Taj Ali Khan,Jody E Phelan,Taane G Clark","10.1038/s41598-022-11795-4","2045-2322","Scientific Reports","Characterisation of drug-resistant Mycobacterium tuberculosis mutations and transmission in Pakistan","2022"
